surah_number,ayah_number,arabic_uthmani,blank,english_saheeh_international
2,232,وَإِذا طَلَّقتُمُ النِّساءَ فَبَلَغنَ أَجَلَهُنَّ فَلا تَعضُلوهُنَّ أَن يَنكِحنَ أَزواجَهُنَّ إِذا تَراضَوا بَينَهُم بِالمَعروفِ ۗ ذٰلِكَ يوعَظُ بِهِ مَن كانَ مِنكُم يُؤمِنُ بِاللَّهِ وَاليَومِ الآخِرِ ۗ ذٰلِكُم أَزكىٰ لَكُم وَأَطهَرُ ۗ وَاللَّهُ يَعلَمُ وَأَنتُم لا تَعلَمونَ,w-ʾidhā ṭallaqtum n-nisāʾ f-balaghn ʾajalahunn f-lā taʿḍulūhunn ʾ yankiḥn ʾazwājahunn ʾidhā tarāḍaw baynahum b-l-maʿrūf dhālik yūʿaẓ bihī m kān minkum yuʾmin b-llāh w-l-yawmil-ʾākhir dhālikum ʾazkā lakum w-ʾaṭhar w-llāh yaʿlam w-ʾantum lā taʿlamūn,"And when you divorce women and they have fulfilled their term, do not prevent them from remarrying their former husbands if they agree among themselves on an acceptable basis. That is instructed to whoever of you believes in Allah and the Last Day. That is better for you and purer, and Allah knows and you know not"
2,233,۞ وَالوالِداتُ يُرضِعنَ أَولادَهُنَّ حَولَينِ كامِلَينِ ۖ لِمَن أَرادَ أَن يُتِمَّ الرَّضاعَةَ ۚ وَعَلَى المَولودِ لَهُ رِزقُهُنَّ وَكِسوَتُهُنَّ بِالمَعروفِ ۚ لا تُكَلَّفُ نَفسٌ إِلّا وُسعَها ۚ لا تُضارَّ والِدَةٌ بِوَلَدِها وَلا مَولودٌ لَهُ بِوَلَدِهِ ۚ وَعَلَى الوارِثِ مِثلُ ذٰلِكَ ۗ فَإِن أَرادا فِصالًا عَن تَراضٍ مِنهُما وَتَشاوُرٍ فَلا جُناحَ عَلَيهِما ۗ وَإِن أَرَدتُم أَن تَستَرضِعوا أَولادَكُم فَلا جُناحَ عَلَيكُم إِذا سَلَّمتُم ما آتَيتُم بِالمَعروفِ ۗ وَاتَّقُوا اللَّهَ وَاعلَموا أَنَّ اللَّهَ بِما تَعمَلونَ بَصيرٌ,w-l-wālidāt yurḍiʿn ʾawlādahunn ḥawlayn kāmilayn l-m ʾarād ʾ yutimm r-raḍāʿat w-ʿalāl-mawlūd lahū rizquhunn w-kiswatuhunn b-l-maʿrūf lā tukallaf nafs ʾillā wusʿahā lā tuḍārr wālidat b-waladihā w-lā mawlūd lahū b-waladihī w-ʿalāl-wārith mithl dhālik f-ʾ ʾarādā fiṣāl ʿ tarāḍ minhumā w-tashāwur f-lā junāḥ ʿalayhimā w-ʾ ʾaradtum ʾ tastarḍiʿū ʾawlādakum f-lā junāḥ ʿalaykum ʾidhā sallamtum mā ʾātaytum b-l-maʿrūf w-ttaqū llāh w-ʿlamū ʾann llāh b-mā taʿmalūn baṣīr,"Mothers may breastfeed their children two complete years for whoever wishes to complete the nursing period. Upon the father is the mothers' provision and their clothing according to what is acceptable. No person is charged with more than his capacity. No mother should be harmed through her child, and no father through his child. And upon the father's heir is a duty like that of the father. And if they both desire weaning through mutual consent from both of them and consultation, there is no blame upon either of them. And if you wish to have your children nursed by a substitute, there is no blame upon you as long as you give payment according to what is acceptable. And fear Allah and know that Allah is Seeing of what you do"
2,234,وَالَّذينَ يُتَوَفَّونَ مِنكُم وَيَذَرونَ أَزواجًا يَتَرَبَّصنَ بِأَنفُسِهِنَّ أَربَعَةَ أَشهُرٍ وَعَشرًا ۖ فَإِذا بَلَغنَ أَجَلَهُنَّ فَلا جُناحَ عَلَيكُم فيما فَعَلنَ في أَنفُسِهِنَّ بِالمَعروفِ ۗ وَاللَّهُ بِما تَعمَلونَ خَبيرٌ,w-lladhīn yutawaffawn minkum w-yadharūn ʾazwāj yatarabbaṣn b-ʾanfusihinn ʾarbaʿat ʾashhur w-ʿashr f-ʾidhā balaghn ʾajalahunn f-lā junāḥ ʿalaykum fī-mā faʿaln fī ʾanfusihinn b-l-maʿrūf w-llāh b-mā taʿmalūn khabīr,"And those who are taken in death among you and leave wives behind - they, the wives, shall wait four months and ten days. And when they have fulfilled their term, then there is no blame upon you for what they do with themselves in an acceptable manner. And Allah is fully Acquainted with what you do"
2,235,وَلا جُناحَ عَلَيكُم فيما عَرَّضتُم بِهِ مِن خِطبَةِ النِّساءِ أَو أَكنَنتُم في أَنفُسِكُم ۚ عَلِمَ اللَّهُ أَنَّكُم سَتَذكُرونَهُنَّ وَلٰكِن لا تُواعِدوهُنَّ سِرًّا إِلّا أَن تَقولوا قَولًا مَعروفًا ۚ وَلا تَعزِموا عُقدَةَ النِّكاحِ حَتّىٰ يَبلُغَ الكِتابُ أَجَلَهُ ۚ وَاعلَموا أَنَّ اللَّهَ يَعلَمُ ما في أَنفُسِكُم فَاحذَروهُ ۚ وَاعلَموا أَنَّ اللَّهَ غَفورٌ حَليمٌ,w-lā junāḥ ʿalaykum fī-mā ʿarraḍtum bihī m khiṭbat n-nisāʾ ʾaw ʾaknantum fī ʾanfusikum ʿalim llāh ʾannakum s-tadhkurūnahunn w-lāk lā tuwāʿidūhunn sirr ʾillā ʾ taqūlū qawlam-maʿrūf w-lā taʿzimū ʿuqdat n-nikāḥ ḥattā yablughal-kitāb ʾajalahū w-ʿlamū ʾann llāh yaʿlam mā fī ʾanfusikum f-ḥdharūh w-ʿlamū ʾann llāh ghafūr ḥalīm,"There is no blame upon you for that to which you indirectly allude concerning a proposal to women or for what you conceal within yourselves. Allah knows that you will have them in mind. But do not promise them secretly except for saying a proper saying. And do not determine to undertake a marriage contract until the decreed period reaches its end. And know that Allah knows what is within yourselves, so beware of Him. And know that Allah is Forgiving and Forbearing"
2,236,لا جُناحَ عَلَيكُم إِن طَلَّقتُمُ النِّساءَ ما لَم تَمَسّوهُنَّ أَو تَفرِضوا لَهُنَّ فَريضَةً ۚ وَمَتِّعوهُنَّ عَلَى الموسِعِ قَدَرُهُ وَعَلَى المُقتِرِ قَدَرُهُ مَتاعًا بِالمَعروفِ ۖ حَقًّا عَلَى المُحسِنينَ,lā junāḥ ʿalaykum ʾ ṭallaqtum n-nisāʾ mā lam tamassūhunn ʾaw tafriḍū lahunn farīḍat w-mattiʿūhunn ʿalāl-mūsiʿ qadaruhū w-ʿalāl-muqtir qadaruhū matāʿ b-l-maʿrūf ḥaqq ʿalāl-muḥsinīn,"There is no blame upon you if you divorce women you have not touched nor specified for them an obligation. But give them a gift of compensation - the wealthy according to his capability and the poor according to his capability - a provision according to what is acceptable, a duty upon the doers of good"
2,237,وَإِن طَلَّقتُموهُنَّ مِن قَبلِ أَن تَمَسّوهُنَّ وَقَد فَرَضتُم لَهُنَّ فَريضَةً فَنِصفُ ما فَرَضتُم إِلّا أَن يَعفونَ أَو يَعفُوَ الَّذي بِيَدِهِ عُقدَةُ النِّكاحِ ۚ وَأَن تَعفوا أَقرَبُ لِلتَّقوىٰ ۚ وَلا تَنسَوُا الفَضلَ بَينَكُم ۚ إِنَّ اللَّهَ بِما تَعمَلونَ بَصيرٌ,w-ʾ ṭallaqtumūhunn m qabl ʾ tamassūhunn w-qad faraḍtum lahunn farīḍat f-niṣf mā faraḍtum ʾillā ʾ yaʿfūn ʾaw yaʿfuwalladhī b-yadihī ʿuqdat n-nikāḥ w-ʾ taʿfū ʾaqrab l-t-taqwā w-lā tansawul-faḍl baynakum ʾinn llāh b-mā taʿmalūn baṣīr,"And if you divorce them before you have touched them and you have already specified for them an obligation, then give half of what you specified - unless they forego the right or the one in whose hand is the marriage contract foregoes it. And to forego it is nearer to righteousness. And do not forget graciousness between you. Indeed Allah, of whatever you do, is Seeing"
2,238,حافِظوا عَلَى الصَّلَواتِ وَالصَّلاةِ الوُسطىٰ وَقوموا لِلَّهِ قانِتينَ,ḥāfiẓū ʿalā ṣ-ṣalawāt w-ṣ-ṣalātil-wusṭā w-qūmū l-llāh qānitīn,"Maintain with care the obligatory prayers and in particular the middle prayer and stand before Allah, devoutly obedient"
2,239,فَإِن خِفتُم فَرِجالًا أَو رُكبانًا ۖ فَإِذا أَمِنتُم فَاذكُرُوا اللَّهَ كَما عَلَّمَكُم ما لَم تَكونوا تَعلَمونَ,f-ʾ khiftum f-rijāl ʾaw rukbān f-ʾidhā ʾamintum f-dhkurū llāh k-mā ʿallamakum mā lam takūnū taʿlamūn,"And if you fear an enemy, then pray on foot or riding. But when you are secure, then remember Allah in prayer, as He has taught you that which you did not previously know"
2,240,وَالَّذينَ يُتَوَفَّونَ مِنكُم وَيَذَرونَ أَزواجًا وَصِيَّةً لِأَزواجِهِم مَتاعًا إِلَى الحَولِ غَيرَ إِخراجٍ ۚ فَإِن خَرَجنَ فَلا جُناحَ عَلَيكُم في ما فَعَلنَ في أَنفُسِهِنَّ مِن مَعروفٍ ۗ وَاللَّهُ عَزيزٌ حَكيمٌ,w-lladhīn yutawaffawn minkum w-yadharūn ʾazwāj waṣiyyat l-ʾazwājihim matāʿ ʾilāl-ḥawl ghayr ʾikhrāj f-ʾ kharajn f-lā junāḥ ʿalaykum fī mā faʿaln fī ʾanfusihinn m maʿrūf w-llāh ʿazīz ḥakīm,"And those who are taken in death among you and leave wives behind - for their wives is a bequest: maintenance for one year without turning them out. But if they leave of their own accord, then there is no blame upon you for what they do with themselves in an acceptable way. And Allah is Exalted in Might and Wise"
2,241,وَلِلمُطَلَّقاتِ مَتاعٌ بِالمَعروفِ ۖ حَقًّا عَلَى المُتَّقينَ,w-l-l-muṭallaqāt matāʿ b-l-maʿrūf ḥaqq ʿalāl-muttaقينَ,And for divorced women is a provision according to what is acceptable - a duty upon the righteous
2,242,كَذٰلِكَ يُبَيِّنُ اللَّهُ لَكُم آياتِهِ لَعَلَّكُم تَعقِلونَ,k-dhālik yubayyin llāh lakum ʾāyātihī laʿallakum taʿqilūn,Thus does Allah make clear to you His verses that you might use reason
2,243,۞ أَلَم تَرَ إِلَى الَّذينَ خَرَجوا مِن دِيارِهِم وَهُم أُلوفٌ حَذَرَ المَوتِ فَقالَ لَهُمُ اللَّهُ موتوا ثُمَّ أَحياهُم ۚ إِنَّ اللَّهَ لَذو فَضلٍ عَلَى النّاسِ وَلٰكِنَّ أَكثَرَ النّاسِ لا يَشكُرونَ,ʾ-lam tar ʾilālladhīn kharajū m diyārihim w-hum ʾulūf ḥadharal-mawt f-qāl lahum llāh mūtū thumm ʾaḥyāhum ʾinn llāh l-dhū faḍl ʿalā n-nās w-lākinn ʾakthar n-nās lā yashkurūn,"Have you not considered those who left their homes in many thousands, fearing death? Allah said to them, ""Die""; then He restored them to life. And Allah is full of bounty to the people, but most of the people do not show gratitude"
2,244,وَقاتِلوا في سَبيلِ اللَّهِ وَاعلَموا أَنَّ اللَّهَ سَميعٌ عَليمٌ,w-qātilū fī sabīl llāh w-ʿlamū ʾann llāh samīʿ ʿalīm,And fight in the cause of Allah and know that Allah is Hearing and Knowing
2,245,مَن ذَا الَّذي يُقرِضُ اللَّهَ قَرضًا حَسَنًا فَيُضاعِفَهُ لَهُ أَضعافًا كَثيرَةً ۚ وَاللَّهُ يَقبِضُ وَيَبسُطُ وَإِلَيهِ تُرجَعونَ,m dhālladhī yuqriḍ llāh qarḍ ḥasan f-yuḍāʿifahū lahū ʾaḍʿāf kathīrat w-llāh yaqbiḍ w-yabsuṭ w-ʾilayh turjaʿūn,"Who is it that would loan Allah a goodly loan so He may multiply it for him many times over? And it is Allah who withholds and grants abundance, and to Him you will be returned"
2,246,أَلَم تَرَ إِلَى المَلَإِ مِن بَني إِسرائيلَ مِن بَعدِ موسىٰ إِذ قالوا لِنَبِيٍّ لَهُمُ ابعَث لَنا مَلِكًا نُقاتِل في سَبيلِ اللَّهِ ۖ قالَ هَل عَسَيتُم إِن كُنتِبَ عَلَيكُمُ القِتالُ أَلّا تُقاتِلوا ۖ قالوا وَما لَنا أَلّا نُقاتِلَ في سَبيلِ اللَّهِ وَقَد أُخرِجنا مِن دِيارِنا وَأَبنائِنا ۖ فَلَمّا كُتِبَ عَلَيهِمُ القِتالُ تَوَلَّوا إِلّا قَليلًا مِنهُم ۗ وَاللَّهُ عَليمٌ بِالظّالِمينَ,ʾ-lam tar ʾilāl-malaʾ m banī ʾisrāʾīl m baʿd mūsā ʾidh qālū l-nabiyy lahum bʿath lanā malik nuqātil fī sabīl llāh qāl hal ʿasaytum ʾ kutib ʿalaykumul-qitāl ʾallā tuqātilū qālū w-mā lanā ʾallā nuqātil fī sabīl llāh w-qad ʾukhrijnā m diyārinā w-ʾabnāʾinā f-lammā kutib ʿalayhimul-qitāl tawallaw ʾillā qalīlam-minhum w-llāh ʿalīm b-ẓ-ẓālimīn,"Have you not considered the assembly of the Children of Israel after the time of Moses when they said to a prophet of theirs, ""Send to us a king, and we will fight in the way of Allah ""? He said, ""Would you perhaps refrain from fighting if fighting was prescribed for you?"" They said, ""And why should we not fight in the cause of Allah when we have been driven out from our homes and from our children?"" But when fighting was prescribed for them, they turned away, except for a few of them. And Allah is Knowing of the wrongdoers"
2,247,وَقالَ لَهُم نَبِيُّهُم إِنَّ اللَّهَ قَد بَعَثَ لَكُم طالوتَ مَلِكًا ۚ قالوا أَنّىٰ يَكونُ لَهُ المُلكُ عَلَينا وَنَحنُ أَحَقُّ بِالمُلكِ مِنهُ وَلَم يُؤتَ سَعَةً مِنَ المالِ ۚ قالَ إِنَّ اللَّهَ اصطَفاهُ عَلَيكُم وَزادَهُ بَسطَةً فِي العِلمِ وَالجِسمِ ۖ وَاللَّهُ يُؤتي مُلكَهُ مَن يَشاءُ ۚ وَاللَّهُ واسِعٌ عَليمٌ,w-qāl lahum nabiyyuhum ʾinn llāh qad baʿath lakum ṭālūt malik qālū ʾannā yakūn lahul-mulk ʿalaynā w-naḥn ʾaḥaqq b-l-mulk minh w-lam yuʾt saʿatam-minal-māl qāl ʾinn llāh ṣṭafāh ʿalaykum w-zādahū basṭat fīl-ʿilm w-l-jism w-llāh yuʾtī mulkahū m yashāʾ w-llāh wāsiʿ ʿalīm,"And their prophet said to them, ""Indeed, Allah has sent to you Saul as a king."" They said, ""How can he have kingship over us while we are more worthy of kingship than him and he has not been given any measure of wealth?"" He said, ""Indeed, Allah has chosen him over you and has increased him abundantly in knowledge and stature. And Allah gives His sovereignty to whom He wills. And Allah is all-Encompassing in favor and Knowing"
2,248,وَقالَ لَهُم نَبِيُّهُم إِنَّ آيَةَ مُلكِهِ أَن يَأتِيَكُمُ التّابوتُ فيهِ سَكينَةٌ مِن رَبِّكُم وَبَقِيَّةٌ مِمّا تَرَكَ آلُ موسىٰ وَآلُ هارونَ تَحمِلُهُ المَلائِكَةُ ۚ إِنَّ في ذٰلِكَ لَآيهً لَكُم إِن كُنتُم مُؤمِنينَ,w-qāl lahum nabiyyuhum ʾinn ʾāyat mulkihī ʾ yaʾtiyakum t-tābūt fīh sakīnat m rabbikum w-baqiyyat mimmā tarak ʾāl mūsā w-ʾāl hārūn taḥmiluhul-malāʾikat ʾinn fī dhālik l-ʾāyat lakum ʾ kuntum muʾminīn,"And their prophet said to them, ""Indeed, a sign of his kingship is that the chest will come to you in which is assurance from your Lord and a remnant of what the family of Moses and the family of Aaron had left, carried by the angels. Indeed in that is a sign for you, if you are believers"
2,249,فَلَمّا فَصَلَ طالوتُ بِالجُنودِ قالَ إِنَّ اللَّهَ مُبتَليكُم بِنَهَرٍ فَمَن شَرِبَ مِنهُ فَلَيسَ مِنّي وَمَن لَم يَطعَمهُ فَإِنَّهُ مِنّي إِلّا مَنِ اغتَرَفَ غُرفَةً بِيَدِهِ ۚ فَشَرِبوا مِنهُ إِلّا قَليلًا مِنهُم ۚ فَلَمّا جاوَزهُ هُوَ وَالَّذينَ آمَنوا مَعَهُ قالوا لا طاقَةَ لَنَا اليَومَ بِجالوتَ وَجُنودِهِ ۚ قالَ الَّذينَ يَظُنّونَ أَنَّهُم مُلاقُو اللَّهِ كَم مِن فِئَةٍ قَليلَةٍ غَلَبَت فِئَةً كَثيرَةً بِإِذنِ اللَّهِ ۗ وَاللَّهُ مَعَ الصّابِرينَ,f-lammā faṣal ṭālūt b-l-junūd qāl ʾinn llāh mubtalīkum b-nahar f-m sharib minh f-lays minnī w-m lam yaṭʿamh f-ʾinnahū minnī ʾillā man ghtaraf ghurfat b-yadihī f-sharibū minh ʾillā qalīlam-minhum f-lammā jāwazahū huw w-lladhīn ʾāmanū maʿahū qālū lā ṭāqat lanāl-yawm b-jālūt w-junūdihī qālalladhīn yaẓunnūn ʾannahum mulāqū llāh kam m fiʾat qalīlat ghalabat fiʾat kathīrat b-ʾidhn llāh w-llāh maʿ ṣ-ṣābirīn,"And when Saul went forth with the soldiers, he said, ""Indeed, Allah will be testing you with a river. So whoever drinks from it is not of me, and whoever does not taste it is indeed of me, excepting one who takes from it in the hollow of his hand."" But they drank from it, except a very few of them. Then when he had crossed it along with those who believed with him, they said, ""There is no power for us today against Goliath and his soldiers."" But those who were certain that they would meet Allah said, ""How many a small company has overcome a large company by permission of Allah. And Allah is with the patient"
2,250,وَلَمّا بَرَزوا لِجالوتَ وَجُنودِهِ قالوا رَبَّنا أَفرِغ عَلَينا صَبرًا وَثَبِّت أَقدامَنا وَانصُرنا عَلَى القَومِ الكافِرينَ,w-lammā barazū l-jālūt w-junūdihī qālū rabbanā ʾafrigh ʿalaynā ṣabr w-thabbit ʾaqdāmanā w-nṣurnā ʿalāl-qawmil-kāfirīn,"And when they went forth to face Goliath and his soldiers, they said, ""Our Lord, pour upon us patience and plant firmly our feet and give us victory over the disbelieving people"
2,251,فَهَزَموهُم بِإِذنِ اللَّهِ وَقَتَلَ داوودُ جالوتَ وَآتاهُ اللَّهُ المُلكَ وَالحِكمَةَ وَعَلَّمَهُ مِمّا يَشاءُ ۗ وَلَولا دَفعُ اللَّهِ النّاسَ بَعضَهُم بِبَعضٍ لَفَسَدَتِ الأَرضُ وَلٰكِنَّ اللَّهَ ذو فَضلٍ عَلَى العالَمينَ,f-hazamūhum b-ʾidhn llāh w-qatal dāwūd jālūt w-ʾātāh llāhul-mulk w-l-ḥikmat w-ʿallamahū mimmā yashāʾ w-law-lā dafʿ llāh n-nās baʿḍahum b-baʿḍ l-fasadatil-ʾarḍ w-lākinn llāh dhū faḍl ʿalāl-ʿālamīn,"So they defeated them by permission of Allah, and David killed Goliath, and Allah gave him the kingship and prophethood and taught him from that which He willed. And if it were not for Allah checking some people by means of others, the earth would have been corrupted, but Allah is full of bounty to the worlds"
2,252,تِلكَ آياتُ اللَّهِ نَتلوها عَلَيكَ بِالحَقِّ ۚ وَإِنَّكَ لَمِنَ المُرسَلينَ,tilk ʾāyāt llāh natlūhā ʿalayk b-l-ḥaqq w-ʾinnak l-minal-mursalīn,"These are the verses of Allah which We recite to you, O Muhammad, in truth. And indeed, you are from among the messengers"
2,253,۞ تِلكَ الرُّسُلُ فَضَّلنا بَعضَهُم عَلىٰ بَعضٍ ۘ مِنهُم مَن كَلَّمَ اللَّهُ ۖ وَرَفَعَ بَعضَهُم دَرَجاتٍ ۚ وَآتَينا عيسَى ابنَ مَريَمَ البَيِّناتِ وَأَيَّدناهُ بِروحِ القُدُسِ ۗ وَلَو شاءَ اللَّهُ مَا اقتَتَلَ الَّذينَ مِن بَعدِهِم مِن بَعدِ ما جاءَتهُمُ البَيِّناتُ وَلٰكِنِ اختَلَفوا فَمِنهُم مَن آمَنَ وَمِنهُم مَن كَفَرَ ۚ وَلَو شاءَ اللَّهُ مَا اقتَتَلوا وَلٰكِنَّ اللَّهَ يَفعَلُ ما يُريدُ,tilk r-rusul faḍḍalnā baʿḍahum ʿalā baʿḍ minhum m kallam llāh w-rafaʿ baʿḍahum darajāt w-ʾātaynā ʿīsā bn maryamal-bayyināt w-ʾayyadnāh b-rūḥil-qudus w-law shāʾ llāh mā qtatalalladhīn m baʿdihim m baʿd mā jāʾathumul-bayyināt w-lākin khtalafū f-minhum m ʾāman w-minhum m kafar w-law shāʾ llāh mā qtatalū w-lākinn llāh yafʿal mā yurīd,"Those messengers - some of them We caused to exceed others. Among them were those to whom Allah spoke, and He raised some of them in degree. And We gave Jesus, the Son of Mary, clear proofs, and We supported him with the Pure Spirit. If Allah had willed, those generations succeeding them would not have fought each other after the clear proofs had come to them. But they differed, and some of them believed and some of them disbelieved. And if Allah had willed, they would not have fought each other, but Allah does what He intends"
2,254,يا أَيُّهَا الَّذينَ آمَنوا أَنفُقوا مِمّا رَزَقناكُم مِن قَبلِ أَن يَأتِيَ يَومٌ لا بَيعٌ فيهِ وَلا خُلَّةٌ وَلا شَفاعَةٌ ۗ وَالكافِرونَ هُمُ الظّالِمونَ,yā-ʾayyuhālladhīn ʾāmanū ʾanfiqū mimmā razaqnāhum m qabl ʾ yaʾtiy yawm lā bayʿ fīh w-lā khullat w-lā shafāʿat w-l-kāfirūn hum ẓ-ẓālimūn,"O you who have believed, spend from that which We have provided for you before there comes a Day in which there is no exchange and no friendship and no intercession. And the disbelievers - they are the wrongdoers"
2,255,اللَّهُ لا إِلٰهَ إِلّا هُوَ الحَيُّ القَيّومُ ۚ لا تَأخُذُهُ سِنَةٌ وَلا نَومٌ ۚ لَهُ ما فِي السَّماواتِ وَما فِي الأَرضِ ۗ مَن ذَا الَّذي يَشفَعُ عِندَهُ إِلّا بِإِذنِهِ ۚ يَعلَمُ ما بَينَ أَيديهِم وَما خَلفَهُم ۖ وَلا يُحيطونَ بِشَيءٍ مِن عِلمِهِ إِلّا بِما شاءَ ۚ وَسِعَ كُرسِيُّهُ السَّماواتِ وَالأَرضَ ۖ وَلا يَئودُهُ حِفظُهُما ۚ وَهُوَ العَلِيُّ العَظيمُ,allāh lā ʾilāh ʾillā huwal-ḥayyul-qayyūm lā taʾkhudhuhū sinat w-lā nawm lahū mā fī s-samāwāt w-mā fīl-ʾarḍ m dhālladhī yashfaʿ ʿindahū ʾillā b-ʾidhnihī yaʿlam mā bayn ʾaydīhim w-mā khalfahum w-lā yuḥīṭūn b-shayʾ m ʿilmihī ʾillā b-mā shāʾ wasiʿ kursiyyuh s-samāwāt w-l-ʾarḍ w-lā yaʾūduhū ḥifẓuhumā w-huwal-ʿaliyyul-ʿaẓīm,"Allah - there is no deity except Him, the Ever-Living, the Sustainer of all existence. Neither drowsiness overtakes Him nor sleep. To Him belongs whatever is in the heavens and whatever is on the earth. Who is it that can intercede with Him except by His permission? He knows what is presently before them and what will be after them, and they encompass not a thing of His knowledge except for what He wills. His Kursi extends over the heavens and the earth, and their preservation tires Him not. And He is the Most High, the Most Great"
2,256,لا إِكراهَ فِي الدّينِ ۖ قَد تَبَيَّنَ الرُّشدُ مِنَ الغَيِّ ۚ فَمَن يَكفُر بِالطّاغوتِ وَيُؤمِن بِاللَّهِ فَقَدِ استَمسَكَ بِالعُروَةِ الوُثقىٰ لَا انفِصامَ لَها ۗ وَاللَّهُ سَميعٌ عَليمٌ,lā ʾikrāh fī d-dīn qad tabayyan r-rushd minal-ghayy f-m yakfur b-ṭ-ṭāghūt w-yuʾm b-llāh f-qad stamsak b-l-ʿurwatil-wuthqā lā nfiṣām lahā w-llāh samīʿ ʿalīm-,There shall be no compulsion in acceptance of the religion. The right course has become clear from the wrong. So whoever disbelieves in Taghut and believes in Allah has grasped the most trustworthy handhold with no break in it. And Allah is Hearing and Knowing
2,257,اللَّهُ وَلِيُّ الَّذينَ آمَنوا يُخرِجُهُم مِنَ الظُّلُماتِ إِلَى النّورِ ۖ وَالَّذينَ كَفَروا أَولِياؤُهُمُ الطّاغوتُ يُخرِجونَهُم مِنَ النّورِ إِلَى الظُّلُماتِ ۗ أُولٰئِكَ أَصحابُ النّارِ ۖ هُم فيها خالِدونَ,allāh waliyyulladhīn ʾāmanū yukhrijuhum min ẓ-ẓulumāt ʾilā n-nūr w-lladhīn kafarū ʾawliyāʾum-u-ṭ-ṭāghūt yukhrijūnahum min n-nūr ʾilā ẓ-ẓulumāt ʾulāʾik ʾaṣḥāb n-nār hum fīhā khālidūn,Allah is the ally of those who believe. He brings them out from darknesses into the light. And those who disbelieve - their allies are Taghut. They take them out of the light into darknesses. Those are the companions of the Fire; they will abide eternally therein
2,258,أَلَم تَرَ إِلَى الَّذينَ حاجَّ إِبراهيمَ في رَبِّهِ أَن آتاهُ اللَّهُ المُلكَ إِذ قالَ إِبراهيمُ رَبِّيَ الَّذي يُحيي وَيُميتُ قالَ أَنا أُحيي وَأُميتُ ۖ قالَ إِبراهيمُ فَإِنَّ اللَّهَ يَأتي بِالشَّمسِ مِنَ المَشرِقِ فَأتِ بِها مِنَ المَغرِبِ فَبُهِتَ الَّذي كَفَرَ ۗ وَاللَّهُ لا يَهدِي القَومَ الظّالِمينَ,ʾ-lam tar ʾilālladhī ḥājj ʾibrāhīm fī rabbihī ʾ ʾātāh llāhul-mulk ʾidh qāl ʾibrāhīm rabbiyalladhī yuḥyī w-yumīt qāl ʾan ʾuḥyī w-ʾumīt qāl ʾibrāhīm f-ʾinn llāh yaʾtī b-sh-shams minal-mashriq f-ʾt bihā minal-maghrib f-buhitalladhī kafar w-llāh lā yahdīl-qawm ẓ-ẓālimīn,"Have you not considered the one who argued with Abraham about his Lord merely because Allah had given him kingship? When Abraham said, ""My Lord is the one who gives life and causes death,"" he said, ""I give life and cause death."" Abraham said, ""Indeed, Allah brings up the sun from the east, so bring it up from the west."" So the disbeliever was overwhelmed by astonishment, and Allah does not guide the wrongdoing people"
2,259,أَو كَالَّذي مَرَّ عَلىٰ قَريَةٍ وَهِيَ خاوِيَةٌ عَلىٰ عُروشِها قالَ أَنّىٰ يُحيي هٰذِهِ اللَّهُ بَعدَ مَوتِها ۖ فَأَماتَهُ اللَّهُ مِائَةَ عامٍ ثُمَّ بَعَثَهُ ۖ قالَ كَم لَبِثتَ ۖ قالَ لَبِثتُ يَومًا أَو بَعضَ يَومٍ ۖ قالَ بَل لَبِثتُ مِائَةَ عامٍ فَانظُر إِلىٰ طَعامِكَ وَشَرابِكَ لَم يَتَسَنَّه ۖ وَانظُر إِلىٰ حِمارِكَ وَلِنَجعَلَكَ آيَةً لِلنّاسِ ۖ وَانظُر إِلَى العِظامِ كَيفَ نُنشِزُها ثُمَّ نَكسوها لَحمًا ۚ فَلَمّا تَبَيَّنَ لَهُ قالَ أَعلَمُ أَنَّ اللَّهَ عَلىٰ كُلِّ شَيءٍ قَديرٌ,ʾaw k-lladhī marr ʿalā qaryat w-hiy khāwiyat ʿalā ʿurūshihā qāl ʾannā yuḥyī hādhih llāh baʿd mawtihā f-ʾamātah llāh miʾat ʿām thumm baʿathahū qāl kam labitht qāl labitht yawm ʾaw baʿḍ yawm qāl bal labitht miʾat ʿām f-nẓur ʾilā ṭaʿāmik w-sharābik lam yatasannah w-nẓur ʾilā ḥimārik w-l-najʿalak ʾāyat l-n-nās w-nẓur ʾilāl-ʿiẓām kayf nunshizuhā thumm naksūhā laḥm f-lammā tabayyan lahū qāl ʾaʿlam ʾann llāh ʿalā kull shayʾ qadīr,"Or consider such an example as the one who passed by a township which had fallen into ruin. He said, ""How will Allah bring this to life after its death?"" So Allah caused him to die for a hundred years; then He revived him. He said, ""How long have you remained?"" The man said, ""I have remained a day or part of a day."" He said, ""Rather, you have remained one hundred years. Look at your food and your drink; it has not changed with time. And look at your donkey; and We will make you a sign for the people. And look at the bones of this donkey - how We raise them and then We cover them with flesh."" And when it became clear to him, he said, ""I know that Allah is over all things competent"
